ID,xposition,yposition
-1,-5.755,-2.63
-2,-6.085,-2.058
-7,-4.825,-4.241
-8,-5.155,-3.669
-9,+5.155,-3.669
-10,+4.825,-4.241
-11,+4.490,-4.821
-12,+4.155,-5.401
-13,+6.755,-0.898
-14,+6.420,-1.478
-18,-4.81,+1.55
-19,-4.27,+1.55
-20,-3.74,+1.55
-21,-3.2,+1.55
-22,-2.67,+1.55
-23,-2.13,+1.55
-24,-1.6,+1.55
-25,-1.06,+1.55
-26,-0.53,+1.55
-27,+0.01,+1.55
-28,+0.54,+1.55
-29,+1.08,+1.55
-30,+1.61,+1.55
-31,+2.15,+1.55
-32,+2.68,+1.55
-33,+3.22,+1.55
-34,+3.75,+1.55
-35,+4.29,+1.55
-36,+4.82,+1.55
-37,+5.36,+1.55