PAD,ASIC,Channel,Channeltype,Channelpos
1,0,50,0,3
2,0,52,0,2
3,0,60,0,4
4,0,61,0,3
9,0,49,0,3
10,0,51,0,5
11,0,59,0,0
12,0,62,0,2
14,0,65,0,4
20,0,45,0,3
21,0,47,0,3
22,0,57,0,2
23,0,58,0,4
24,0,64,0,3
30,0,46,0,1
31,0,48,0,5
32,0,55,0,2
33,0,56,0,4
34,0,66,0,1
35,0,67,0,5
43,0,40,0,3
44,0,43,0,2
45,0,37,0,4
46,0,38,0,0
47,0,68,0,1
48,0,70,0,5
55,0,42,0,1
56,0,41,0,5
57,0,36,0,0
58,0,39,0,4
59,0,69,0,2
60,0,71,0,1
61,0,29,0,4
71,0,1,0,3
72,0,2,0,1
73,0,9,0,3
74,0,10,0,0
75,0,19,0,3
76,0,22,0,3
77,0,28,0,3
85,0,0,0,1
86,0,3,0,5
87,0,12,0,1
88,0,11,0,5
89,0,21,0,1
91,0,20,0,5
92,0,31,0,1
93,0,30,0,5
103,0,4,0,2
104,0,5,0,3
105,0,13,0,3
106,0,16,0,2
107,0,23,0,2
108,0,26,0,2
109,0,32,0,4
110,0,33,0,3
119,0,6,0,1
120,0,7,0,1
121,0,14,0,5
122,0,15,0,0
123,0,24,0,0
124,0,25,0,0
125,0,35,0,1
126,0,0,0,5
136,1,6,0,2
137,1,4,0,4
138,1,1,0,5
139,1,3,0,4
140,1,29,0,2
141,1,28,0,3
142,0,34,0,3
151,1,5,0,0
152,1,7,0,3
153,1,0,0,0
154,1,2,0,3
155,1,31,0,1
156,1,30,0,3
157,0,0,0,5
167,1,10,0,1
168,1,9,0,5
170,1,20,0,1
171,1,19,0,5
172,1,33,0,1
173,1,35,0,5
180,1,11,0,2
181,1,12,0,4
182,1,21,0,3
183,1,22,0,0
184,1,34,0,2
185,0,0,0,4
193,1,13,0,0
194,1,15,0,3
195,1,24,0,3
196,1,23,0,3
197,1,32,0,0
203,1,14,0,1
204,1,16,0,5
205,1,25,0,5
206,1,26,0,1
207,0,0,0,5
13,0,1,1,6
90,0,0,1,6
169,1,0,1,6
-7,0,0,1,6
-11,0,0,1,6
-12,0,0,1,6
-1,0,0,1,6
-5,0,0,1,6
-6,0,0,1,6
-13,0,0,1,6
-16,0,0,,6