Center X,Center Y (flipped),Center Y,direction,Radius
-84.59,0.001,-0.001,-1,2
-78.55,10.451,-10.451,-1,2
-78.545,-10.464,10.464,-1,2
-72.504,27.909,-27.909,1,2
-66.462,-31.395,31.395,-1,2
-66.45,10.451,-10.451,-1,2
-60.42,41.861,-41.861,-1,2
-60.42,-20.929,20.929,-1,2
-59.926,34.887,-34.887,0,2
-54.38,31.396,-31.396,-1,2
-54.38,59.306,-59.306,1,2
-54.38,-10.464,10.464,-1,2
-54.378,-45.347,45.347,1,2
-54.378,-24.416,24.416,1,2
-48.336,6.979,-6.979,1,2
-48.336,-55.811,55.811,1,2
-42.3,-10.45,10.45,-1,2
-42.3,31.401,-31.401,-1,2
-42.295,-52.324,52.324,-1,2
-42.295,73.256,-73.256,-1,2
-42.294,10.466,-10.466,-1,2
-42.294,-73.256,73.256,-1,2
-41.8,-17.438,17.438,0,2
-36.252,48.838,-48.838,1,2
-36.252,-34.881,34.881,1,2
-30.21,-3.487,3.487,1,2
-24.17,6.981,-6.981,1,2
-24.17,-20.929,20.929,-1,2
-24.169,69.769,-69.769,1,2
-24.168,-76.742,76.742,1,2
-24.168,27.909,-27.909,1,2
-24.168,-55.811,55.811,1,2
-24.15,62.801,-62.801,-1,2
-12.084,-76.742,76.742,1,2
-12.084,-13.952,13.952,1,2
-12.084,-34.881,34.881,1,2
-12.084,69.769,-69.769,1,2
-12.084,48.839,-48.839,1,2
-6.05,10.451,-10.451,-1,2
-6.04,31.396,-31.396,-1,2
-6.04,-52.326,52.326,-1,2
0,-62.789,62.789,-1,2
0,0,0,-1,2
0.494,-69.764,69.764,0,2
6.04,-31.392,31.392,-1,2
6.042,59.304,-59.304,1,2
6.05,73.251,-73.251,-1,2
6.536,45.352,-45.352,0,2
12.084,-76.743,76.743,1,2
12.084,-20.93,20.93,-1,2
12.085,20.931,-20.931,-1,2
12.1,41.851,-41.851,-1,2
18.125,52.326,-52.326,-1,2
18.126,-45.347,45.347,1,2
18.126,-3.487,3.487,1,2
24.15,-62.799,62.799,-1,2
24.168,20.93,-20.93,-1,2
24.168,69.769,-69.769,1,2
30.2,-10.45,10.45,-1,2
30.21,-24.417,24.417,1,2
30.21,-73.256,73.256,-1,2
30.21,38.373,-38.373,1,2
36.252,-41.86,41.86,-1,2
36.252,6.978,-6.978,1,2
36.746,-27.9,27.9,0,2
42.294,-73.256,73.256,-1,2
42.3,52.351,-52.351,-1,2
42.3,73.251,-73.251,-1,2
48.336,-55.812,55.812,1,2
48.336,20.93,-20.93,-1,2
48.336,-34.882,34.882,1,2
48.336,-13.952,13.952,1,2
48.35,62.801,-62.801,-1,2
54.378,52.326,-52.326,-1,2
54.378,38.373,-38.373,1,2
60.4,-41.85,41.85,-1,2
60.42,41.861,-41.861,-1,2
60.42,6.978,-6.978,1,2
60.42,-13.952,13.952,1,2
60.914,34.887,-34.887,0,2
66.462,-24.417,24.417,1,2
72.5,-20.95,20.95,-1,2
72.504,27.909,-27.909,1,2
78.546,-3.486,3.486,1,2
78.546,17.443,-17.443,1,2
84.6,0.001,-0.001,-1,2