PAD,ASIC,Channel,Channeltype,Channelpos
1,0,55,0,3
2,0,56,0,2
3,0,61,0,4
4,0,60,0,3
5,0,35,0,3
6,0,34,0,2
7,0,22,0,4
8,0,21,0,3
9,0,57,0,1
10,0,58,0,5
11,0,59,0,0
12,0,62,0,1
14,0,33,2,5
15,0,0,3,1
16,0,32,0,4
17,0,20,0,0
18,0,19,0,1
19,1,23,0,5
20,0,66,0,3
21,0,65,0,2
22,0,70,0,1
23,0,71,0,5
24,0,30,0,3
25,0,31,0,5
26,0,24,0,2
27,0,23,0,4
28,1,26,0,3
30,0,67,0,1
31,0,64,0,5
32,0,68,0,0
33,0,69,0,4
34,0,28,0,1
35,0,29,2,5
36,0,0,3,2
37,0,26,0,4
38,0,25,0,0
39,1,24,0,3
40,1,25,0,5
43,0,49,0,2
44,0,52,0,4
45,0,48,0,0
46,0,47,0,0
47,0,11,0,3
48,0,9,0,3
49,0,15,0,3
50,0,16,0,3
51,1,31,0,1
52,1,29,0,3
55,0,51,0,2
56,0,50,0,4
57,0,45,0,3
58,0,46,0,3
59,0,12,0,1
60,0,10,0,2
61,0,13,2,5
62,0,0,3,2
63,0,14,0,4
64,1,21,0,4
66,1,30,0,2
67,1,28,0,4
71,0,41,0,3
72,0,43,0,0
73,0,39,0,3
74,0,36,0,5
75,0,0,0,5
76,0,1,0,5
77,0,6,0,0
78,0,5,0,3
79,1,20,0,0
80,1,32,0,3
81,1,35,0,3
85,0,40,0,1
86,0,42,0,5
87,0,37,0,1
88,0,38,0,5
89,0,0,0,1
91,0,3,0,5
92,0,7,0,1
93,0,4,2,5
94,0,0,3,1
95,1,19,0,5
96,1,22,0,1
97,1,34,0,1
98,1,33,0,5
103,2,4,0,2
104,2,5,0,4
105,2,1,0,3
106,2,3,0,3
107,2,39,0,2
108,2,37,0,4
109,2,42,0,2
110,2,43,0,4
111,1,3,0,3
112,1,2,0,3
113,1,16,0,2
114,1,14,0,4
119,2,7,0,0
120,2,6,0,1
121,2,0,0,5
122,2,2,0,2
123,2,38,0,2
124,2,36,0,4
125,2,40,0,2
126,2,41,2,4
127,0,0,3,1
128,1,1,0,5
129,1,0,0,5
130,1,15,0,2
131,0,0,0,4
136,2,11,0,2
137,2,9,0,4
138,2,13,0,3
139,2,14,0,0
140,2,50,0,0
141,2,51,0,3
142,2,47,0,0
143,2,46,0,3
144,1,12,0,1
145,1,9,0,3
146,1,13,0,0
151,2,10,0,0
152,2,12,0,1
153,2,15,0,5
154,2,16,0,3
155,2,52,0,1
156,2,49,0,1
157,2,48,2,5
158,0,0,3,1
159,2,45,0,5
161,1,11,0,1
162,1,10,0,5
163,0,0,0,5
167,2,21,0,2
168,2,20,0,4
170,2,33,0,1
171,2,34,0,3
172,2,60,0,2
173,2,59,0,3
174,2,57,0,2
175,2,55,0,4
176,1,7,0,2
177,1,5,0,4
180,2,19,0,0
181,2,22,0,4
182,2,32,0,1
183,2,35,0,5
184,2,62,0,0
185,2,61,2,5
186,0,0,3,1
187,2,58,0,5
188,2,56,0,4
189,1,6,0,2
190,0,0,0,4
193,2,23,0,4
194,2,26,0,0
195,2,28,0,3
196,2,31,0,3
197,2,69,0,3
198,2,70,0,3
199,2,64,0,0
200,2,66,0,0
201,1,4,0,0
203,2,24,0,1
204,2,25,0,1
205,2,30,0,5
206,2,29,0,5
207,2,71,2,5
208,0,0,3,1
209,2,68,0,5
210,2,67,0,1
211,2,65,0,1
212,0,0,0,5
90,0,0,1,6
13,0,1,1,6
65,1,0,1,6
169,2,0,1,6
160,2,1,1,6
-1,0,0,1,6
-2,0,0,1,6
-4,0,0,1,6
-5,0,0,1,6
-6,0,0,1,6
-13,0,0,1,6
-14,0,0,1,6
-15,0,0,1,6
-16,0,0,1,6